,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
8,0,0.0464158883361277,0,0.15,1.5,1,-0.9464280811187122,0.11,-0.916631155051432,0.094,0.003403378
30,10,0.8516666666666667,10,0.23,1.5,1,-0.8271326459811728,0.11,-0.895452984156057,0.112,0.003762002
19,20,0.44375,20,0.33,1.5,1,-1.0062095734772902,0.095,-0.793071144867833,0.1,0.042383171
34,30,1.0,30,0.2,0.75,1,-0.9296693662929616,0.11,-0.8904392763393317,0.078,0.002637906
35,40,1.1,40,0.3,0.5,1,-0.905291230441573,0.105,-0.8754059593794886,0.13,0.002716624
18,50,0.4066666666666667,50,0.25,1.0,1,-0.9698806599844376,0.105,-0.9254654698521234,0.108,0.002507523
9,60,0.1,60,0.15,1.2,1,-0.9321854955799443,0.11,-0.8286650828571949,0.166,0.003253847
14,70,0.2583333333333333,70,0.33,1.5,1,-0.936838749164676,0.095,-0.8578336057964593,0.088,0.002692473
16,80,0.3325,80,0.23,1.2,1,-0.9151634898463696,0.11,-0.8803285415361165,0.11,0.002842587
35,90,1.1,90,0.33,0.5,1,-0.8789228901861308,0.11,-0.8625352016913405,0.122,0.011604775
