,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
30,0,0.8516666666666667,0,0.25,1.2,1,-0.9902847664623394,0.15,-1.0083865985174676,0.148,0.000424109
30,10,0.8516666666666667,10,0.2,1.2,1,-1.0082077659703057,0.14,-0.943464150712446,0.152,0.000525468
22,20,0.555,20,0.05,0.5,1,-0.9265319313370496,0.155,-0.7704589237435204,0.234,0.000573278
34,30,1.0,30,0.15,1.5,1,-0.9447171243821236,0.145,-0.84031021842957,0.114,0.000557209
33,40,0.9629166666666668,40,0.3,1.0,1,-0.8463893913119185,0.155,-0.8829755871558864,0.18,0.000531688
20,50,0.4808333333333333,50,0.05,1.0,1,-0.886419788410353,0.15,-0.8668708069789975,0.138,0.000403638
33,60,0.9629166666666668,60,0.3,1.5,1,-0.9252980371689458,0.155,-0.8377790880267546,0.162,0.000649108
34,70,1.0,70,0.23,1.2,1,-0.8638945752447864,0.155,-0.8858085077541265,0.128,0.000375179
30,80,0.8516666666666667,80,0.25,0.75,1,-0.897145904803236,0.14,-0.9149009570234456,0.178,0.000519859
34,90,1.0,90,0.33,0.75,1,-0.9620225967216508,0.145,-0.8169633030041902,0.164,0.000504638
