seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
3,0.4,3,0.2,10,1,0.0,0.2725,0.0,0.267,0.000230716,0.095,0.114,-6.679470310593344,-6.694321906963169,-5.597183630858459,1.679532791969955,1.2485378239904048
3,0.44102564102564107,3,0.2,10,1,0.0,0.2675,0.0,0.253,0.000230716,0.1025,0.132,-6.504707384243846,-6.517994548143665,-5.559158615860733,1.5769018611888332,1.1583677048327643
3,0.48205128205128206,3,0.2,10,1,0.0,0.2525,0.0,0.235,0.000230716,0.14,0.152,-6.319975515977144,-6.332462262260668,-5.52019175185156,1.505297570277542,1.1041015644581356
3,0.5230769230769231,3,0.2,10,1,0.0,0.24,0.0,0.208,0.000230716,0.16,0.182,-6.135243650538114,-6.146929978625632,-5.473847172881012,1.436125044493517,1.0423658148798507
3,0.5641025641025641,3,0.2,10,1,0.0,0.225,0.0,0.192,0.000230716,0.17,0.206,-5.935368324752156,-5.946896786404116,-5.415916453497768,1.3296642688198332,0.9701926986470466
3,0.6051282051282052,3,0.2,10,1,0.0,0.215,0.0,0.181,0.000230716,0.21,0.237,-5.729275379345086,-5.74060080366918,-5.347823085598597,1.257175895109526,0.9012989632138688
3,0.6461538461538462,3,0.2,10,1,0.0,0.1925,0.0,0.171,0.000230716,0.25,0.261,-5.523182439220229,-5.534304826584399,-5.273583594158894,1.1796490795802597,0.8456485042968539
3,0.6871794871794872,3,0.2,10,1,0.0,0.1725,0.0,0.155,0.000230716,0.2875,0.289,-5.317089497518697,-5.328008847394153,-5.194222207129314,1.1227106077404243,0.7892375421996104
3,0.7282051282051283,3,0.2,10,1,0.0,0.155,0.0,0.142,0.000230716,0.3175,0.325,-5.1109965544330045,-5.1217128670279335,-5.110709782072554,1.0398909897595907,0.7205233646119278
3,0.7692307692307693,3,0.2,10,1,0.0,0.145,0.0,0.134,0.000230716,0.345,0.342,-4.880019535180642,-4.885110092826819,-5.032321244187269,0.8287875248488034,0.5416992547943811
3,0.8102564102564103,3,0.2,10,1,4.190536806447653e-12,0.1375,4.190536806447653e-12,0.129,0.000230716,0.38,0.373,-4.624571680918845,-4.6195830168652225,-4.952732157794298,1.469506390039557,0.9046947508532669
3,0.8512820512820514,3,0.2,10,1,1.852631381638048e-10,0.1175,1.852631381638048e-10,0.112,0.000230716,0.4125,0.402,-4.35151328551543,-4.33468434565376,-4.870682344941239,1.4180266930754413,0.8778447215955008
3,0.8923076923076924,3,0.2,10,1,2.857224457031293e-10,0.1025,2.857224457031293e-10,0.097,0.000230716,0.4475,0.446,-4.078454884858328,-4.04978566671355,-4.783962373960797,1.3665900667277424,0.8520339722359246
3,0.9333333333333333,3,0.2,10,1,2.9071730578422716e-09,0.0825,2.9071730578422716e-09,0.09,0.000230716,0.485,0.467,-3.805396508412281,-3.7648870140543567,-4.69412966280755,1.315193963838277,0.8318152335212646
3,0.9743589743589743,3,0.2,10,1,1.2561727213977747e-09,0.0725,1.2561727213977747e-09,0.081,0.000230716,0.515,0.497,-3.532338110419772,-3.479988340194167,-4.600958541780213,1.2638361304790642,0.8080068811220551
3,1.0153846153846153,3,0.2,10,1,1.0461402855099777e-09,0.0675,1.0461402855099777e-09,0.072,0.000230716,0.5425,0.52,-3.2592797135476297,-3.195089667614195,-4.505105546812456,1.2125144843718254,0.793233184411463
3,1.0564102564102564,3,0.2,10,1,8.854855737538969e-10,0.0625,8.854855737538969e-10,0.068,0.000230716,0.565,0.541,-2.9862213203845815,-2.910190998326637,-4.406653114132558,1.2207361526280176,0.7773676001076937
3,1.0974358974358975,3,0.2,10,1,7.298586179871336e-10,0.0525,7.298586179871336e-10,0.061,0.000230716,0.585,0.561,-2.7131629255867016,-2.6252923271408926,-4.305840193114766,1.1817061015808583,0.762168109051161
3,1.1384615384615384,3,0.2,10,1,5.886734433246943e-10,0.045,5.886734433246943e-10,0.054,0.000230716,0.6,0.573,-2.437538472135631,-2.33796265384866,-4.20326288764844,1.198994714043675,0.7503157286774241
3,1.1794871794871795,3,0.2,10,1,4.646562024035461e-10,0.0375,4.646562024035461e-10,0.05,0.000230716,0.615,0.597,-2.1459214723228235,-2.0354821467102386,-4.101894014951315,1.177368953113266,0.73688916445987
3,1.2205128205128206,3,0.2,10,1,3.642077750498629e-10,0.03,3.642077750498629e-10,0.047,0.000230716,0.6375,0.619,-1.8543044933658042,-1.7330016648633184,-3.9990968670485874,1.0849834178083726,0.7788694468137705
3,1.2615384615384615,3,0.2,10,1,2.8219782066685184e-10,0.0175,2.8219782066685184e-10,0.042,0.000230716,0.6525,0.632,-1.5626874921621414,-1.430521155801355,-3.8951961325203492,1.0646816773812107,0.7680324916017517
3,1.3025641025641026,3,0.2,10,1,2.0226102237508314e-08,0.015,2.0226102237508314e-08,0.037,0.000230716,0.69,0.66,-1.2681781355784425,-1.1250668296822128,-3.793725189823639,1.1128739108741696,0.7152154401681562
3,1.3435897435897437,3,0.2,10,1,1.4370622358761409e-08,0.015,1.4370622358761409e-08,0.033,0.000230716,0.71,0.677,-0.9510187310586516,-0.7976451234608568,-3.7057512480519565,1.0991567336483146,0.7157881440794396
3,1.3846153846153846,3,0.2,10,1,1.0480028178605494e-08,0.015,1.0480028178605494e-08,0.032,0.000230716,0.74,0.701,-0.633859358683899,-0.470223452565392,-3.6172551007410285,1.1127473101270167,0.7194008562989529
3,1.4256410256410255,3,0.2,10,1,8.667956019614564e-09,0.0125,8.667956019614564e-09,0.028,0.000230716,0.76,0.723,-0.3166999515868874,-0.14280174323324749,-3.527762649662036,1.1068091370392454,0.7187436533296392
3,1.4666666666666668,3,0.2,10,1,8.325091283012398e-09,0.0125,8.325091283012398e-09,0.024,0.000230716,0.7875,0.744,0.004904579334174244,0.18825336595490036,-3.4408145414601448,1.100870963520692,0.7254853558445645
3,1.5076923076923077,3,0.2,10,1,7.761513987070146e-09,0.01,7.761513987070146e-09,0.022,0.000230716,0.8025,0.76,0.3332938936276695,0.5248542965694767,-3.357438142754519,1.0733277241319374,0.7362306969207674
3,1.5487179487179485,3,0.2,10,1,7.213520003546137e-09,0.005,7.213520003546137e-09,0.018,0.000230716,0.815,0.774,0.661683225900785,0.8614552397188032,-3.273273100674776,1.0700204240225761,0.7369102603908929
3,1.5897435897435899,3,0.2,10,1,2.461361781058713e-09,0.0025,2.461361781058713e-09,0.013,0.000230716,0.8275,0.785,0.9900725543078392,1.198056193775445,-3.187803827876217,0.9685120319724124,0.7447713633922624
3,1.6307692307692307,3,0.2,10,1,1.5296501842954058e-09,0.0025,1.5296501842954058e-09,0.01,0.000230716,0.8425,0.808,1.326531554097911,1.5427268096777844,-3.108087560142362,0.9784284963838994,0.7549785191485076
3,1.6717948717948716,3,0.2,10,1,1.4485552757292908e-09,0.0025,1.4485552757292908e-09,0.009,0.000230716,0.85,0.83,1.670475173270278,1.894882038774313,-3.0338992826889677,1.0957737982748486,0.7585319016118452
3,1.712820512820513,3,0.2,10,1,1.6267278635240245e-09,0.0025,1.6267278635240245e-09,0.006,0.000230716,0.87,0.837,2.014418745976782,2.247037226225659,-2.959164953785159,1.1067681452736016,0.7621667639587852
3,1.7538461538461538,3,0.2,10,1,2.036982049702374e-08,0.0,2.036982049702374e-08,0.005,0.000230716,0.88,0.858,2.358362303219482,2.5991923992812604,-2.8837772563016104,1.0534997293618322,0.8024023709354049
3,1.7948717948717947,3,0.2,10,1,6.901804461278971e-09,0.0,6.901804461278971e-09,0.004,0.000230716,0.8925,0.87,2.7035002957729892,2.952323896370605,-2.807316246731314,1.071244876159641,0.8089394545571812
3,1.835897435897436,3,0.2,10,1,1.4684872429171492e-08,0.0,1.4684872429171492e-08,0.004,0.000230716,0.8925,0.883,3.056863825117334,3.312178876384364,-2.724935547442803,1.0672102295279409,0.7964853473924305
3,1.876923076923077,3,0.2,10,1,1.114711922767242e-08,0.0,1.114711922767242e-08,0.002,0.000230716,0.9025,0.89,3.4394860136718215,3.6988929539877824,-2.648637776900412,1.0732743647331042,0.8066335431444822
3,1.9179487179487178,3,0.2,10,1,1.400812754681624e-08,0.0,1.400812754681624e-08,0.002,0.000230716,0.92,0.903,3.831753928370241,4.095117602292762,-2.572196425618832,1.07915643561092,0.8166883740279516
3,1.9589743589743591,3,0.2,10,1,1.1085879325634096e-08,0.0,1.1085879325634096e-08,0.002,0.000230716,0.9325,0.91,4.224021898653296,4.491342310840684,-2.49560777971062,1.0236212654838404,0.8793541363924477
3,2.0,3,0.2,10,1,1.1901706731265449e-08,0.0,1.1901706731265449e-08,0.001,0.000230716,0.935,0.925,4.616289826327715,4.887566971945763,-2.419019187228382,1.0111332697037165,0.8900488204034178
